S.NO,Time,PM,Quality
1,1,86,Moderate
2,1,86,Moderate
3,1,86,Moderate
4,1,86,Moderate
5,1,86,Moderate
6,1,86,Moderate
7,1,86,Moderate
8,1,86,Moderate
