RED,GREEN,BLUE,CONTRAST,ENTROPY
48.95610891,52.04629314,57.43646991,165.0951953,21.09297721
61.01491293,63.05537476,66.32505432,329.1493926,21.09190686
58.910002,60.43210685,61.61670956,134.8382134,21.09318336
63.49781311,64.59296742,65.11027726,111.5090052,21.09495877
62.55451748,64.75960981,68.10165908,2438.043757,21.2879364
62.86606925,64.63350137,67.64037903,444.1942441,21.30311547
39.13753461,46.5878544,56.32173145,413.8584062,21.30775801
51.13469915,55.34875274,61.00836025,279.1635273,21.30311224
67.93724638,68.97915233,70.75579709,43.97856675,21.31151536
56.65738936,58.71261346,62.55090096,4664.002598,21.29194787
56.56600985,58.62375014,60.62047721,1200.842393,21.30060507
41.39674341,46.42158772,52.74151971,148.0302077,21.30675494
57.67765854,58.88538145,60.8195211,451.1040207,21.53832877
63.79083262,64.46203148,65.47409754,1032.107073,21.53630988
55.81308734,56.12495385,55.71192803,373.051559,21.53408796
64.22278955,63.60353525,61.89262564,1019.281378,21.53347078
61.89476888,63.08158574,65.95666316,88.20621125,21.53895716
65.8482448,66.56284643,68.45773538,53.92449679,21.53855515
59.79912344,60.21913099,60.56552015,705.3779398,21.53624844
60.94998532,61.10393494,61.08126675,279.8681851,21.53599786
63.12630504,64.18588757,66.57339269,125.9496361,21.53875237
61.7874738,63.03015613,65.85101398,49.73038644,21.53856266
59.79460841,59.88778288,60.03094993,1599.190678,21.53088676
59.43098794,59.69872895,60.01695869,1235.16233,21.53200235
66.69229224,67.02376939,67.88970161,202.5906446,21.53696451
57.22467996,58.29427936,60.64613318,88.75165168,21.53780686
58.14625675,58.35546044,58.18908947,1940.142764,21.52951068
52.18005559,52.64482771,53.11748757,1644.403155,21.53110055
59.73872216,60.37084299,61.1020293,116.0683699,21.62774978
53.27962997,54.37203402,55.20646131,425.4406667,21.62749013
50.4382907,51.16304015,51.9547855,701.7717146,21.62477651
48.5948304,49.48704563,50.09797132,964.6650342,21.62588934
50.19940541,50.94603293,52.17878092,142.054489,21.62786334
54.82296053,55.56080858,56.19643388,839.479334,21.62573284
39.36339487,39.82546125,40.75730574,1274.492991,21.61500318
41.17036222,41.87851701,42.73014125,1657.593514,21.61686355
56.89975099,57.6143034,58.49212679,15.27014903,21.62944025
54.14606221,55.22467322,55.92820677,339.7090125,21.62849737
49.54637831,50.17693335,50.9386786,1212.360185,21.6231111
48.01518738,49.04585665,49.77925327,1094.287185,21.62290443
41.93480451,45.81912722,48.99603561,550.7818698,21.61283926
67.13739183,67.2694276,67.78525353,850.3379718,21.61560353
28.07840524,32.09865179,34.2485694,1275.370348,21.61135534
33.82711199,36.8719542,38.94121158,2816.585872,21.57378822
61.07738577,62.24777305,62.46831423,2116.927644,21.60964797
42.97504253,48.075708,51.88306234,368.5412544,21.62485378
32.41059942,35.26020782,38.1791869,1376.251568,21.59405453
40.97186781,42.56320975,44.75138858,15970.60201,21.59958198
47.28665465,52.87527305,57.52692554,69.78262117,21.62808439
44.93320225,50.53930771,53.98656527,145.6302344,21.62761176
58.87347674,59.00429364,59.32201327,630.4433279,21.62670349
50.1030308,53.49294625,55.35204676,548.485993,21.62540407
47.36873141,51.75194116,55.5981326,80.24472603,21.62757128
56.29656486,57.53699211,58.31114203,2544.00346,21.61882536
48.92349359,50.16762399,51.24712946,1402.366381,21.62174353
41.0537463,42.68512091,43.93539633,1314.015184,21.62091473
48.20275929,51.88157585,54.64232331,177.4341898,21.62774804
51.0138931,53.69856016,55.35410667,983.6439564,21.62142091
45.08340144,46.91843586,48.28333097,2435.104915,21.60697596
41.55314822,44.0159563,45.49131564,1746.992925,21.6148059
54.77039119,58.46461538,61.59467949,1267.854567,17.62103111
33.96375247,39.10767258,43.23282216,288.8445465,17.61636194
56.3839382,59.81580868,62.48546515,433.0076436,17.62438638
45.06015779,49.42100099,52.98283531,164.3471597,17.62408827
23.80896778,29.60248849,34.39334813,1328.414727,17.61587924
46.49218113,50.92982249,54.18273833,1468.974814,17.60248565
34.15976331,39.68619329,43.75607331,259.9853637,17.61951266
47.19701183,51.73024655,54.44688034,330.43933,17.62153467
63.06334484,64.12513971,65.18829717,1571.967303,17.61458309
34.37010026,36.97956443,39.8092735,685.8416243,17.60809786
58.2136785,59.40499507,60.41919461,1383.247355,17.62583768
43.13770381,45.05895957,46.69771861,564.2538603,17.61592128
38.80559336,42.92821828,47.03441979,241.556614,17.62730973
37.48021203,42.23386259,46.35007068,246.0320636,17.62729538
51.85861275,56.00330703,59.65887245,271.5500227,17.62577077
50.37782051,54.81152202,58.29729126,181.9608344,17.62549861
41.39323471,45.2647403,50.5640549,875.0576566,17.59523356
23.18506082,31.28825773,38.04454799,292.2482504,17.61161248
56.89125411,57.21905983,57.36198718,320.9219339,17.623691
45.77759369,47.66436226,48.33279915,1510.341801,17.61792713
36.96233399,41.79091716,45.8959977,883.3482044,17.62188509
40.24176693,44.93548817,48.80086785,985.15616,17.62214034
52.13001479,56.18326923,59.03894313,484.4648482,17.62619994
56.59002959,60.31293228,62.48249343,737.2083708,17.62483296
