,S.NO,Time,PM,Quality,RED,GREEN,BLUE,CONTRAST,ENTROPY
0,1,1,86,Moderate,41.393234714003945,45.26474030243261,50.56405489809336,875.0576566347927,17.595233560620034
1,2,1,86,Moderate,23.185060815253124,31.288257725180802,38.044547994740306,292.2482504463352,17.611612483227084
2,3,1,86,Moderate,56.89125410913872,57.21905982905983,57.36198717948718,320.9219338959309,17.623690995648047
3,4,1,86,Moderate,45.77759368836292,47.66436226166996,48.33279914529915,1510.3418013075586,17.61792713035782
4,5,1,86,Moderate,36.96233399079553,41.79091715976331,45.89599769888231,883.3482044410058,17.621885090860058
5,6,1,86,Moderate,40.24176692965155,44.935488165680475,48.80086785009862,985.1561600124547,17.62214033903949
6,7,1,86,Moderate,52.13001479289941,56.183269230769234,59.03894312952005,484.4648482256178,17.62619993599005
7,8,1,86,Moderate,56.59002958579882,60.31293228139382,62.48249342537804,737.2083707982672,17.624832957670737
