,S.NO,Time,PM,Quality,RED,GREEN,BLUE,CONTRAST,ENTROPY,BRIGHT
26,27,2,75,1,58.14625675,58.35546044,58.18908947,1940.142764,21.52951068,136.1444
27,28,2,75,1,52.18005559,52.64482771,53.11748757,1644.403155,21.53110055,121.1444
28,29,1,154,3,59.73872216,60.37084299,61.1020293,116.0683699,21.62774978,175.9318
29,30,1,154,3,53.27962997,54.37203402,55.20646131,425.4406667,21.62749013,144.2218
30,31,1,154,3,50.4382907,51.16304015,51.9547855,701.7717146,21.62477651,130.0762
31,32,1,154,3,48.5948304,49.48704563,50.09797132,964.6650342,21.62588934,119.0774
32,33,1,154,3,50.19940541,50.94603293,52.17878092,142.054489,21.62786334,161.9318
33,34,1,154,3,54.82296053,55.56080858,56.19643388,839.479334,21.62573284,140.3662
34,35,1,154,3,39.36339487,39.82546125,40.75730574,1274.492991,21.61500318,88.1484
35,36,1,154,3,41.17036222,41.87851701,42.73014125,1657.593514,21.61686355,88.3662
36,37,1,154,3,56.89975099,57.6143034,58.49212679,15.27014903,21.62944025,174.9318
37,38,1,154,3,54.14606221,55.22467322,55.92820677,339.7090125,21.62849737,148.1536
38,39,1,154,3,49.54637831,50.17693335,50.9386786,1212.360185,21.6231111,118.7232
39,40,1,154,3,48.01518738,49.04585665,49.77925327,1094.287185,21.62290443,116.9318
40,41,2,134,2,41.93480451,45.81912722,48.99603561,550.7818698,21.61283926,125.592
41,42,2,134,2,67.13739183,67.2694276,67.78525353,850.3379718,21.61560353,193.8568
42,43,2,134,2,28.07840524,32.09865179,34.2485694,1275.370348,21.61135534,61.8178
43,44,2,134,2,33.82711199,36.8719542,38.94121158,2816.585872,21.57378822,66.172
44,45,2,134,2,61.07738577,62.24777305,62.46831423,2116.927644,21.60964797,152.596
45,46,2,134,2,42.97504253,48.075708,51.88306234,368.5412544,21.62485378,126.8178
46,47,2,134,2,32.41059942,35.26020782,38.1791869,1376.251568,21.59405453,75.7352
47,48,2,134,2,40.97186781,42.56320975,44.75138858,15970.60201,21.59958198,3.4974
48,49,2,134,2,47.28665465,52.87527305,57.52692554,69.78262117,21.62808439,160.1078
49,50,2,134,2,44.93320225,50.53930771,53.98656527,145.6302344,21.62761176,140.0946
50,51,2,134,2,58.87347674,59.00429364,59.32201327,630.4433279,21.62670349,154.8676
51,52,2,134,2,50.1030308,53.49294625,55.35204676,548.485993,21.62540407,139.0144
52,53,2,134,2,47.36873141,51.75194116,55.5981326,80.24472603,21.62757128,150.3702
53,54,2,134,2,56.29656486,57.53699211,58.31114203,2544.00346,21.61882536,126.4476
54,55,2,134,2,48.92349359,50.16762399,51.24712946,1402.366381,21.62174353,116.1484
55,56,2,134,2,41.0537463,42.68512091,43.93539633,1314.015184,21.62091473,94.0774
56,57,2,134,2,48.20275929,51.88157585,54.64232331,177.4341898,21.62774804,164.6694
